0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2.750216,1.0794022,8.51746,2.2420056,-0.66641146,1.9177768,4.0032706,2.8907497,6.9008865,5.1108427,1.3857355,-0.53514946,2.5872855,0.64863884,3.8720896,2.6544793,2.3028548,0.7667224,-0.028461175,2.1169236,0.8040651,5.46865,1.914258,8.318194,1.0972168,5.776166,5.9513755,3.8573945,3.5118484,5.0652814,9.051225,1.174245,2.76528,6.048453,0.11343172,0.7553612,8.39803,4.997124,3.1571982,-0.49388587,8.749936,1.6487141,3.9402163,-0.13719842,6.3294134,2.0671666,-0.08712008,4.222189,2.6456947,0.73623264
0.4555552,-0.46916068,3.541555,-0.6501103,-1.0893722,-0.6667744,1.4506669,1.0549229,2.4007967,1.9795884,-0.33302033,-0.89986527,-0.22827467,-0.8354024,0.7542542,-0.19823839,-0.8511504,-0.86163473,-0.46798918,0.34540612,-0.37255648,2.72509,-0.003313,3.6199508,-0.0653695,2.653443,2.1361337,0.78630453,0.34394908,1.4683094,4.9275365,-0.4074755,0.5698427,2.8103344,-0.032004822,-1.1788024,3.5877776,0.8236598,0.766961,-1.4354423,3.599673,-0.20645806,1.9603838,-0.92762256,3.0996485,-0.114912406,-1.530202,1.4012754,0.7324016,-0.40212244
-0.1883702,-0.3928319,1.2305437,-1.235188,-0.25614232,-1.4435327,0.4167235,-0.26326483,0.5742173,-0.83576846,0.0107986,-0.99609125,-1.3161497,-1.9244803,-0.22582085,-0.65021473,-1.3078256,-1.0543517,-0.8925253,-0.1074545,0.6376431,1.0871136,0.15695748,1.5030047,-0.23366274,0.74899906,-0.2726841,-0.69223034,-0.4872536,0.39921844,2.9613643,-0.15048908,-0.43272552,1.3296252,-1.1272918,-1.627288,1.5950799,0.11102067,0.5017681,-0.6910178,0.843203,-0.07725087,0.5589866,-0.033709895,1.5022395,-1.6376982,-1.2887105,0.5955274,-0.13915978,-1.2609543
0.7982173,-0.038920335,0.71468717,-0.74792933,0.11694878,-1.8214417,0.3296531,-1.4260018,-0.51302207,-0.32197702,-0.14169456,-0.9285944,-2.006155,-1.533691,0.21372892,-0.49123272,-0.8215136,-0.354873,0.12953934,-0.096299484,0.6154535,0.12250209,0.18805376,0.9071789,0.18516123,0.3356537,-0.48466504,-0.56308645,-0.48242974,0.5824355,1.8963968,-0.63151056,0.35172203,0.9693724,-0.16714713,-1.0721761,0.662136,-1.2447901,0.43170258,0.33934852,0.37268084,0.26111296,0.07235995,0.13505402,1.1703395,-0.3661213,-0.7050948,0.49952525,0.06769357,-1.3196857
2.4575355,-0.061209895,1.2720242,-1.0270187,-1.1478639,-1.8557502,0.034289997,-0.30158404,-0.35665524,-0.51924735,-0.25781128,-1.5045637,-0.45930198,-1.5475154,0.31117108,-0.34100297,-0.15955412,-0.4803945,-0.3316176,-0.413868,-0.16470501,-0.35076037,0.3989377,1.7103503,-0.15277855,0.26025358,-0.6836178,-0.4556858,0.27841762,1.4004253,1.8710096,-0.82276416,-0.42973986,0.9426,-0.25618494,-1.7666181,0.27022657,0.31008306,0.39286655,0.05310493,1.2158614,0.009750808,-0.39485222,-0.6069068,1.5394797,-0.20441526,-1.195723,0.090704754,-0.24926217,-0.82167304
-0.31077155,-0.51965773,-0.6155017,-1.3871288,-1.5732387,-2.3119051,-0.48640737,-0.60363394,-0.9152644,-1.2035753,-0.9854675,-1.2138615,-1.6623344,-2.081557,-0.4901946,-1.2054161,-1.9061221,-1.0234534,-0.9324256,-0.9775796,-0.20067507,-0.8820588,-0.15449734,-0.033888206,-0.5144979,-0.16225807,-1.1327537,-1.3570187,-0.4195833,0.5151763,0.5216903,-1.0611801,-1.6448201,-0.26629734,-1.0455233,-2.3615234,-0.51874036,-1.0110204,-0.4398257,-0.93788534,-0.30727383,-0.33721244,-0.61545265,-1.3785889,0.18123627,-0.9986501,-1.7035977,-0.38000938,-0.35457516,-1.2876632
-0.5326871,-1.0971129,-1.583101,-1.372005,-1.4928817,-2.0738482,-0.4757823,-1.3103453,-1.2583578,-1.1952615,-0.82082057,-1.6505665,-2.047995,-2.0673153,-1.7080255,-1.2337579,-2.5015764,-1.5514246,-0.7424502,-0.9429158,-0.35785148,-1.1527565,-0.7926271,-1.0967227,-0.44605926,-0.86784047,-1.0914891,-1.4128232,-2.4842334,-0.862572,0.18229385,-1.036042,-1.247197,-0.32606983,-1.5820919,-2.707943,-0.9653262,-2.3630898,-0.38635084,-2.1047354,-0.97780776,-0.7308428,-0.6132993,-2.0560892,-0.15137307,-1.0005745,-1.755603,-0.59969413,-0.6151553,-1.7157154
-0.60249853,-1.0379332,-1.3445746,-1.5543016,-1.7720965,-1.8809909,-0.6474393,-0.9714127,-1.4672116,-1.7220951,-1.3955601,-2.1240149,-1.3953933,-2.407669,-1.2191657,-1.1020108,-0.5650649,-1.0749346,-0.08553969,-0.91304696,-0.81370705,-1.0019068,-0.21695231,-0.89615476,-0.63211465,-0.9306246,-0.7199774,-1.3937103,-1.0966505,-1.0539484,0.40807495,-0.9051425,-1.6184794,-0.26567107,-2.3187883,-1.9406472,-1.0667701,-0.19659469,-0.09388957,-0.6495799,-1.5637343,-1.7065353,-0.8629873,-2.1758752,-0.059986487,-0.8315244,-2.4551415,-0.3881544,-0.9424924,-1.5670094
0.41502586,-1.6874838,-0.53427124,-1.493212,-1.5920691,-2.820645,-0.50983083,-1.563749,-1.0930924,-1.3062243,-2.359007,-2.554203,-1.1346375,-2.3957355,-0.55544394,-1.0087994,-1.2029052,-1.0199827,0.25841498,-1.2104366,-0.6276049,-0.7645093,-0.1587288,0.028679464,-0.56800175,-0.4611234,-1.026893,-0.97059536,-1.3286046,-0.60555357,0.59150493,-1.0812227,-0.65173906,-0.4162331,-1.6928403,-2.017669,-0.7986401,-1.0477973,0.10350528,-1.3160065,-0.8815814,-2.3160868,-0.7248642,-1.968512,0.32719472,0.32044694,-1.8586802,-0.5391196,-0.60894775,-1.4229792
-1.059933,-1.5731418,-1.4024417,-1.7383807,-0.91982925,-2.4891975,-0.46664062,-1.5591677,-1.083956,-1.4752798,-1.1767932,-2.0636172,-1.3920254,-2.4728866,-1.8327137,-0.7467726,-0.7795454,-1.7659295,-0.81389594,-0.6556157,0.22841209,-0.44228807,-0.18956265,-1.5678943,-0.43279204,-0.9074871,-1.1016884,-2.4422479,-1.7137383,-1.6764088,-0.38605708,-0.86822796,-1.2938236,-0.83878094,-2.159691,-2.4340563,-0.4812723,-0.7615424,0.08846458,-1.9384304,-2.191987,-1.3689271,-0.13378216,-1.65097,-1.2966255,0.09985126,-1.0972241,-0.74804205,-0.96997124,-1.5478455
-1.199696,-1.1110654,-1.1941198,-0.4726209,-1.359758,-1.805082,-0.29474217,-0.5603453,-0.28603798,-0.93784606,-1.006853,-1.4212048,-0.36231196,-2.2669702,-1.3151945,-0.042525623,-0.929778,-1.9273624,-0.7689593,-0.85380876,0.15977399,-0.19895302,0.24457158,-1.7594882,-0.44427097,-1.1918145,-0.6390312,-1.986299,-1.262072,-1.1558664,-0.88126326,-0.96487385,-0.5302757,-0.86626655,-1.3389333,-1.679087,-0.12865756,-1.7238984,-0.11845987,-2.052938,-1.9614699,-1.4070668,0.3007535,-1.3388318,-1.2074852,-0.3106091,-0.54472274,-0.67879903,-0.58863974,-1.2979006
-0.45648077,-0.9879545,-0.8978072,0.0812908,-2.0034418,-0.8155074,-0.41044503,-0.87124705,-0.28722763,0.33104423,-0.8074388,-1.528218,-0.5219002,-1.8694531,-0.91207755,0.30192676,0.7868188,0.028632786,1.10167,-1.5201466,-0.6107866,-0.17057806,0.57695407,-1.9905347,-0.39999852,-0.7991672,0.10640571,-1.8458891,-1.3101739,-1.4774978,-1.1908455,-0.4374827,-0.15466839,-0.44429278,0.36927512,-0.673637,-0.3479442,-1.3512203,-0.46476915,-0.5273782,-2.009471,-1.7664075,0.61196625,-1.3021626,-0.5412734,-0.08465266,-0.8647557,-0.0010259772,-0.05535889,-1.5706934
0.20326367,-1.435344,-0.4954137,0.08528782,-2.944171,-1.0507131,-0.6286729,-0.41110623,0.6007702,-0.44922978,-2.5089593,-1.8239673,1.1099609,-1.6997058,-0.2087037,0.6000437,0.52322215,-0.046516225,-0.4266053,-2.3110545,-0.84452593,-0.11951957,0.07669103,-0.4884713,-0.775565,-1.1501226,0.45417073,-0.28073224,-0.47783345,-0.47357112,-0.35028785,-1.2327875,-0.8268328,-0.39102635,-0.96604794,-1.1239039,0.3247161,0.7908631,-0.4904876,-1.4855299,-1.0627068,-2.6254861,-0.2713242,-2.0759034,0.2189022,-0.96770304,-1.1101143,0.5968046,0.3092499,-1.4386717
-1.3895807,-1.0950394,-1.9443926,-0.1153195,-1.2237719,-0.31032002,-0.055402145,-1.0827596,-0.31963354,-0.18175997,-0.98733073,-0.8407986,-0.68861294,-1.9199622,-0.65979576,0.90446746,0.018517809,-0.8824104,0.4144244,-1.4664026,0.42662165,-0.1919482,0.015252922,-2.112093,0.025253654,-0.79529864,-0.07762427,-0.4686177,-1.236633,-1.938977,-1.4320234,0.36019996,-1.4374144,-0.08776261,-0.830369,-0.77470565,0.21804117,-1.6427556,-0.02459901,-0.39164886,-3.0027332,-1.4854691,0.15770847,-1.4125133,-0.7894004,-1.3411095,-0.6148189,0.39460337,0.34373882,-2.0072117
-0.6437571,-0.22064936,-1.7305002,0.58145875,-0.0852888,0.9468056,0.5181446,-2.3883684,0.171737,0.6437982,-0.5785932,-1.225342,-0.34560183,-1.6891719,-0.38066047,1.8340076,1.3880415,-1.0347329,0.0017959041,-0.2967902,0.9052832,0.14143696,1.0557973,-1.7438829,0.7174937,-0.14444295,0.80154645,-0.325446,-1.4889746,-2.1507149,-0.41759515,0.790832,-1.0512875,0.9083821,-0.7337203,-0.18564293,1.1885775,-1.0713866,0.9064606,-1.0747713,-2.4632375,-1.3520881,0.7462953,-1.1860651,-0.38117546,-1.139895,-0.2425583,1.0720205,0.534137,-1.9780939
0.74728215,0.14712837,-0.18409346,1.6137708,-0.38554126,0.9404487,0.5568502,-1.2715214,0.36931306,1.0042005,-0.8059566,-1.8343387,-0.1386682,-1.5749676,0.41308886,1.86029,0.8083463,-0.3549694,0.31846064,-0.4721738,0.3068682,0.6269031,1.4413191,-0.21512735,1.0407647,-0.0477534,1.3425806,0.09674829,0.2862905,-1.2275361,0.076278985,1.1020578,-0.7352539,1.6140318,-0.33341607,-0.01670822,1.4261311,-1.1136562,0.8039025,-0.26099867,-0.9553998,-1.399187,0.6264929,-1.3453078,1.1256037,-0.4539354,-0.71482915,1.479836,0.8750397,-1.9418916
1.5842338,0.13913696,0.5981145,1.3441879,-1.6675289,0.36365262,1.0571944,0.6076328,1.8660278,1.6031562,-0.4536682,-1.5396154,0.64104086,-1.3664976,1.5446272,1.7655342,0.9996691,-0.26863724,0.9207522,-0.34071103,-0.32698855,1.2206428,2.1328504,1.4019258,0.65818995,0.6896153,1.1732138,0.984141,0.6716973,-0.70078236,1.005104,0.4464849,0.46607006,1.4992707,1.6672755,0.30673298,1.3865043,-0.8886695,0.6810223,-0.05999449,0.9381508,-1.9831561,0.82367975,-1.6171744,1.6847051,0.57666314,-0.66437954,1.7454175,1.3589818,-1.1410118
-0.6842864,0.005961161,-1.1203526,0.52857924,-0.64295965,0.556884,1.0066563,-0.52563673,0.9293974,-0.2606629,0.19729675,-0.15570858,-0.7274737,-1.6131749,-0.3030051,1.5977226,-0.033900548,-0.6756663,-0.3343505,0.25543338,0.37326092,0.562136,0.96703523,-0.3500317,0.19166194,-0.080229655,0.3495298,-0.33167088,-0.87989616,-1.7141547,-0.1279152,1.557092,-0.7503217,1.0555172,0.072010845,-0.76594186,0.8257707,-0.23480447,0.7813989,-0.8670788,-0.96318316,-0.5629563,0.81571573,-0.37140927,-0.09769971,-1.1076323,-0.60917383,0.9864875,0.7095249,-1.3580134
0.3120898,0.7110197,-0.679399,1.6421281,-0.23855343,1.1998199,1.586861,0.06782535,0.8958019,-0.054351322,0.3335285,-0.13069539,-0.16829954,-1.1257871,0.64307123,1.8232732,0.86586434,1.0651975,1.4388705,0.24840738,0.51044905,0.8180305,1.0448415,-0.39218277,0.7375275,0.07904691,0.8635991,0.019507471,-0.41025415,-0.43472248,-0.1340661,1.4324205,-0.30894616,1.3925464,1.2104262,0.59935844,1.259715,-0.38581276,1.1079601,0.7881254,-1.0702882,-0.77761793,0.753439,0.6178432,0.49050835,-0.58518535,-0.2865184,1.4894466,0.94532865,-1.0360887
1.0102038,0.12025995,-0.2801152,2.075859,-0.5587745,1.0892751,1.3180261,1.2853427,2.1200883,1.3809705,-0.14525175,0.39022818,1.2362908,0.15368831,1.2117848,1.8339046,1.3775913,0.54681873,2.008992,-0.23175809,0.32540357,0.8315749,1.3081102,0.49045858,0.59066963,0.33880767,1.0726215,1.4695483,0.8701575,0.36430246,0.09430073,1.41,0.5147056,1.1080356,2.503548,1.5369425,0.85308814,-0.5074207,0.7127972,1.0133687,-0.008411394,-0.93766075,0.9030809,0.20161605,1.0783144,0.23581393,0.6097961,1.4193451,1.2130795,-0.63439137
