0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-2.6874766,-3.6864288,-3.208255,-2.8777044,-2.413444,-3.5542495,-2.637962,-2.7523432,-1.3862456,-2.0411468,-3.3232968,-2.817982,-3.9846282,-3.7414625,-3.202784,-1.7659435,-3.5312195,-4.4773226,-3.421558,-3.2220366,-2.9433188,-2.0302315,-2.4640303,-2.1436775,-2.5402787,-2.7006888,-1.7930392,-2.0920682,-3.4145918,-4.236707,-2.2843804,-3.3225493,-3.8242137,-2.3962083,-4.3356214,-3.5384881,-0.7457771,-2.2229002,-3.06464,-3.7387176,-2.2210891,-1.9821086,-2.6762466,-1.9801124,-2.5684938,-2.625005,-3.6291137,-1.6509659,-0.80481416,-2.6111815
-2.664102,-3.4905546,-3.639608,-3.7624671,-3.0351026,-3.6472666,-3.5237944,-3.431896,-3.068782,-3.1430376,-4.1339216,-3.4630065,-4.218218,-3.5615911,-3.7770305,-2.9839036,-4.0609174,-4.240874,-3.634183,-3.4827023,-2.8272848,-2.9630299,-3.1196232,-3.0240119,-2.6773684,-3.1516645,-2.4196892,-2.5541193,-4.0245867,-4.304526,-3.3316388,-3.7024338,-4.185401,-2.5485175,-4.4212456,-3.9639127,-2.2765234,-3.3018556,-3.0877926,-3.5118597,-3.2321625,-2.9941213,-3.4141266,-2.579296,-2.8913083,-3.1622076,-3.4327343,-2.8251536,-2.2054927,-3.2617586
-2.6306112,-3.1267736,-3.4066012,-4.036753,-3.3314953,-3.6598978,-3.9383628,-3.6325839,-3.7784193,-3.5775836,-4.48906,-3.6889305,-3.775836,-3.3943663,-3.894868,-3.6593902,-4.0529346,-4.303658,-3.3537464,-3.4029772,-2.6147923,-3.479256,-3.2379975,-3.3774014,-2.4438179,-2.9612105,-2.8901856,-2.6548862,-3.5271537,-3.835912,-3.6665308,-3.6288235,-3.8959494,-2.440899,-4.357056,-3.9256222,-3.1121879,-3.4766235,-3.1558385,-3.8197966,-3.772004,-3.5145504,-3.7107596,-2.8983066,-2.9845898,-3.23784,-3.086386,-3.2411444,-2.8553572,-2.914275
-2.390002,-2.4816601,-3.3370128,-4.087061,-3.3229961,-3.3232493,-3.7241094,-3.585071,-4.0587373,-3.5167947,-3.842466,-3.7396927,-3.3772485,-3.121981,-3.508358,-3.883212,-4.067693,-3.539994,-2.7335443,-2.951328,-2.5312412,-3.7632,-3.0109396,-3.750314,-2.041139,-2.1046395,-3.2940927,-2.492182,-2.9551547,-3.3724577,-3.5248718,-3.4887643,-3.3717215,-2.2202106,-3.298016,-4.1638017,-3.6280463,-3.0238783,-2.782756,-3.4975677,-3.9981956,-3.6009312,-3.5661077,-2.7500873,-2.9170837,-3.0351331,-2.5027509,-3.625259,-3.1982596,-2.6180723
-1.5376427,-1.9587152,-3.050749,-3.6903389,-3.0023198,-2.8382277,-3.1852543,-3.4183843,-3.9198618,-2.8791308,-3.323268,-3.3805702,-3.3287828,-2.6631706,-2.9460118,-3.4478064,-3.64372,-3.0164204,-2.2197726,-2.4522607,-2.3436723,-3.483084,-2.0403755,-3.1175025,-1.6481018,-2.0707262,-3.4016142,-1.9533821,-2.4796262,-2.5805895,-2.8290012,-3.1550689,-2.4771843,-1.756378,-2.6391337,-4.1215916,-3.3961992,-2.8675828,-2.4320812,-2.6494172,-3.6300325,-3.3068213,-3.2863572,-2.756457,-2.318542,-2.4854627,-2.2106445,-3.480588,-3.0851252,-2.3638906
-1.4486009,-1.8684056,-2.7613378,-3.1634715,-2.485651,-2.3233452,-2.601734,-3.0920672,-3.4904857,-2.181734,-2.7949762,-2.9901218,-2.5233357,-2.428548,-2.5806744,-2.6101906,-3.057101,-2.197923,-1.5907471,-1.8197973,-1.8788265,-2.9277904,-1.7829491,-2.5926564,-1.4589381,-1.820648,-3.0657814,-1.6270428,-2.3209293,-1.7514555,-2.1683743,-2.8385053,-2.449804,-1.1953895,-2.505053,-3.316299,-2.8191185,-2.4133565,-1.8101511,-2.380578,-3.2594855,-2.8226335,-2.536129,-2.343767,-1.7599765,-2.0982056,-1.8644117,-3.15563,-2.514243,-2.1551635
-1.3079077,-2.0763435,-2.4644575,-2.7367232,-2.3471377,-2.2161837,-2.224337,-3.0561843,-3.1546345,-1.6686312,-2.7776291,-2.6088693,-2.831765,-2.381233,-2.235308,-1.602519,-2.1522336,-1.5725113,-1.0324919,-1.6031073,-1.9565511,-2.4290407,-1.2760297,-2.3066661,-1.6741283,-1.4194379,-2.771183,-1.596833,-2.4524703,-1.4590645,-1.6902319,-2.304187,-2.1962276,-1.06906,-2.207945,-2.5825677,-2.6010818,-2.4409761,-1.9557993,-2.4611602,-3.0005705,-2.5535486,-2.0862508,-2.2312243,-1.1723268,-1.9087119,-2.1795115,-3.1010695,-1.9567965,-1.9613056
-1.0172962,-2.039296,-2.460694,-2.196919,-2.140837,-2.0144622,-1.9762934,-3.0551128,-2.633359,-1.5630054,-2.320261,-2.2882807,-2.4082246,-2.3016098,-2.080794,-0.9664723,-1.6437678,-1.6003681,-1.1470125,-1.6793586,-1.9371406,-2.0237944,-0.99727833,-1.97242,-1.7068115,-1.7248527,-2.3353083,-1.8358004,-2.4877656,-1.1793343,-1.3969095,-1.9937559,-1.6684078,-0.9895905,-1.905873,-2.0175338,-1.9561437,-2.1405766,-2.0469718,-1.7910012,-2.7335927,-2.4651122,-1.8375847,-2.0729263,-0.74000293,-1.865459,-2.1332357,-2.6815205,-1.3401138,-2.2322907
-0.9827579,-2.0118997,-2.188671,-1.5115181,-1.7747383,-1.786198,-1.7491198,-2.6334827,-2.2695844,-0.8890461,-2.2771392,-2.0098746,-2.0391643,-2.1307619,-1.7729301,-0.42860022,-1.0704315,-1.0495446,-0.70762414,-1.8971064,-1.9277819,-1.737965,-0.5913404,-1.6147062,-1.6504425,-1.6528842,-1.92498,-1.8403734,-2.0454319,-0.707591,-1.1541898,-1.8344657,-1.7447615,-0.9705932,-1.4337828,-1.5347694,-1.3516147,-2.1399596,-1.9493543,-1.3768557,-2.560355,-2.313756,-1.5277954,-1.9353257,-0.414447,-1.7378567,-2.1608088,-2.189059,-0.8317886,-2.084661
-0.52411234,-1.9333683,-1.9660835,-0.95252377,-1.6113343,-1.3711865,-1.6003275,-2.2157466,-1.665594,-0.57596695,-2.105695,-1.8015671,-1.2878277,-1.8873465,-1.374858,-0.004852662,-0.435042,-0.54505795,-0.7853327,-2.0161176,-1.9307364,-1.2407205,-0.5931676,-1.3995351,-1.3748033,-2.1147583,-1.2301733,-1.6658118,-2.0785515,-0.4337611,-0.9627757,-1.3649092,-1.5134199,-0.75189805,-1.1954076,-1.2487628,-0.79124874,-1.7484599,-1.8294472,-1.4332285,-2.0404062,-2.305176,-1.1740793,-1.7757807,-0.21636154,-1.6602861,-1.8989311,-1.8709213,-0.33161193,-1.8403924
