0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2.2973008,1.9325085,3.04571,4.2429376,2.664036,2.4267642,2.8384717,5.2355328,4.215142,3.1987317,1.9327673,1.6151057,2.7703037,2.5838933,3.8187482,4.4887233,3.8651319,1.2599483,1.1569687,1.2492384,1.8886194,3.0197964,1.920254,2.3223557,0.94345456,1.3319608,4.1476603,2.165292,2.7639594,2.62189,1.4581109,2.2160213,4.348995,2.38134,3.6524005,4.541812,5.0813375,3.6354141,2.7458885,1.357852,2.3283038,0.8080636,2.7709281,2.5846977,2.062218,1.5785418,3.042865,4.9861913,2.9219468,1.683082
0.8057218,0.8216133,2.027537,2.687282,1.2302548,1.91318,1.6759932,2.5327551,2.7162051,2.0558622,0.8696341,1.6630659,2.1165183,2.1397345,2.5443919,3.0760272,2.4135544,0.53827775,0.1137276,0.81222546,0.8238941,2.9140356,1.165275,0.9213932,0.20372465,0.73351765,2.3656042,1.2917055,1.725876,1.5271754,0.5685106,1.4782909,2.7149992,1.1986666,2.5754085,3.1384587,3.134696,1.6684846,1.3186053,2.1782756,1.5358723,0.17781523,1.8208792,1.1712085,1.4009987,0.7094351,1.1078446,3.2011433,1.9028695,1.2368602
-0.27013123,0.5905386,0.87824166,2.180264,2.068604,1.5314633,1.3253781,0.79711485,2.0488985,1.8393183,1.2192087,1.4913656,1.3548571,1.7707297,1.5318199,1.8947276,2.087819,0.42238322,-0.67033124,0.66642237,1.5481389,2.5344672,0.6265978,0.26210874,1.0526314,1.0072471,2.0897672,0.75182974,1.43604,0.92362916,-0.4489789,1.7252022,3.0428324,0.52962625,2.5415597,2.4177392,2.4044976,1.4160063,0.8429519,1.827712,0.31560278,0.96015537,1.9473747,0.04901915,0.14086989,0.7002861,1.3043689,2.719209,1.879185,0.61066353
1.1028383,0.11726947,0.4704599,1.3317429,1.0738416,0.7504277,0.46489897,0.4456591,1.9120082,0.6344871,-0.25171345,0.98739225,1.9426109,0.97501254,1.2981203,1.2641077,1.0287664,1.6190442,0.09096124,-0.19005947,0.88770074,1.4757972,1.0931175,0.10300044,0.57962203,-0.28191653,2.1823604,0.59714377,1.0713514,0.83871615,0.2953985,1.1497691,2.3388307,0.12906063,2.0370347,1.2845845,1.8581141,1.279736,0.22408059,0.6386572,0.15408206,-0.42511663,0.62952524,2.1043587,-0.15971868,-0.13903013,0.99270606,2.7879617,1.446428,0.7061715
0.33463082,-0.37721252,1.4191744,1.7946811,-0.30187407,0.7391332,0.64087665,0.065211184,1.7025576,1.5739913,-1.6987981,0.79030925,0.47673362,0.65169036,1.6946093,1.1805229,1.1731256,1.2801489,0.48976326,-0.22628723,-0.19540797,0.99556845,0.8238927,0.5965797,-0.042159237,0.06964969,1.6590049,1.5303638,-1.5746329,0.012642502,0.48746428,0.7324168,0.46045166,0.15599647,0.53223425,0.4848954,1.1165887,1.2997532,-0.013342614,0.00029700383,0.54534954,-0.9621702,0.44865924,0.25873774,1.1986222,-0.3002722,0.51064897,2.4943085,0.7051288,0.67397165
-0.20605002,1.0631663,-0.22252348,1.5675868,1.2569857,1.6614239,1.1687173,0.3558088,1.6245108,1.7508452,1.7564774,1.9007059,-0.07099001,1.4076834,1.0069804,1.755818,1.195541,1.9595262,-0.21990114,0.4514346,0.8526363,1.2048256,-0.60537165,0.023939356,1.2307689,0.23830791,1.9259511,0.49592876,0.52774316,-0.6067432,0.4521774,2.2721035,0.9511953,0.6755007,0.3749437,0.57882535,1.2327961,0.56559646,0.8873376,0.09603124,0.25812513,1.1628976,1.3958789,0.15073861,0.391195,-0.5764877,1.2783871,2.1838741,0.6495861,0.5725443
-0.73539984,1.6432694,-0.7974648,1.8845643,1.4875772,2.6127088,2.2900665,0.44286975,2.5176592,1.8590097,2.9474432,2.5882893,-0.94312716,1.8657455,0.7044034,1.9441377,1.9502473,1.714616,-0.20338643,0.83997864,1.9401706,1.9863629,0.1873932,-0.49816984,1.9572196,0.40278906,2.0534809,0.09667093,0.7193829,0.018212952,0.15997744,1.9285647,0.7123642,2.0176637,0.49901035,0.9489492,2.1258903,-0.5151461,2.0628865,1.4935333,-0.15375437,2.7661395,2.5608675,-0.43819493,0.21106863,-0.260909,2.122469,1.9735615,2.1464078,0.2838372
-0.113135755,0.05696679,-0.20575948,1.5998678,-0.19190593,1.2347245,0.98964334,-1.0309538,2.2597895,1.9155341,0.66534853,1.2668307,0.023038497,0.9709328,1.0611163,1.1667216,2.1007664,1.2984576,-0.22287068,-0.5464891,0.82131654,1.2278181,0.8775556,-0.107591085,0.33314434,0.056115974,2.0241091,0.05726804,-1.092039,0.51887536,1.2820894,0.8755387,-0.28501508,1.7107635,0.54119897,1.1146542,2.0194523,0.8865947,0.835904,0.37259132,0.38300958,0.24383411,1.0671546,-0.22371246,1.0333292,-0.15124545,0.7157153,2.2480743,1.0495194,0.45633936
-1.1844913,-0.4566752,-0.6085227,0.5799985,-0.5368094,0.6490212,0.50796914,-0.5860132,1.413963,1.0564852,-0.5571126,0.7389003,-0.46185836,0.3243421,0.14487098,0.34186712,0.80723685,-0.6685751,-0.55332154,-0.67296416,-0.14755295,0.7727646,0.34525192,-0.2160663,-0.27821857,-0.018880364,0.24867128,0.19720124,-0.68926007,-0.5202801,0.3375983,0.2738838,-0.18824041,1.2682579,0.06680094,-0.94740754,0.400903,0.59974325,0.7093106,-0.8603211,-0.40820932,-0.68502206,0.46989903,-1.0506501,0.9841051,-0.40063715,0.117600225,0.4478404,-0.9171952,-0.29878265
-0.9386607,0.89474636,-1.0795699,0.23418681,0.3776489,0.88209975,1.1429306,0.527564,0.04245249,1.1423163,1.2777936,0.9828399,-0.44631797,1.2720308,-0.32074943,-0.04289769,0.2744594,-1.0114983,-0.06501697,0.35489333,0.67663294,0.88501316,-0.52945834,-0.31175572,0.7735761,0.021338869,-0.074153565,-0.21214072,0.04640729,-0.7366074,-0.018933157,0.27041838,-1.0018901,1.0936588,-1.034749,-0.0038828177,0.4756608,0.18599604,1.1769477,0.043808065,-1.0250946,1.1089673,0.91232574,0.3184485,0.08989785,-0.17667322,0.13156989,0.3373175,-0.012872011,0.019017639
